jurisdiction,state,year,drug_type,deaths,crude_rate
Connecticut,Connecticut,2015,Otheropioids,243,6.8
Connecticut,Connecticut,2015,Heroin,390,10.9
Connecticut,Connecticut,2015,Meth,22,0.6
Connecticut,Connecticut,2016,Meth,25,0.7
Connecticut,Connecticut,2016,Heroin,450,12.6
Connecticut,Connecticut,2016,Fentanyl,500,14
Connecticut,Connecticut,2016,Otheropioids,264,7.4
Connecticut,Connecticut,2017,Meth,39,1.1
Connecticut,Connecticut,2017,Otheropioids,273,7.6
Connecticut,Connecticut,2017,Fentanyl,686,19.1
Connecticut,Connecticut,2017,Heroin,425,11.8
Connecticut,Connecticut,2018,Heroin,338,9.5
Connecticut,Connecticut,2018,Fentanyl,767,21.5
Connecticut,Connecticut,2018,Otheropioids,231,6.5
Connecticut,Connecticut,2018,Meth,70,2
Connecticut,Connecticut,2019,Heroin,339,9.5
Connecticut,Connecticut,2019,Otheropioids,283,7.9
Connecticut,Connecticut,2019,Meth,70,2
Connecticut,Connecticut,2019,Fentanyl,950,26.6
Connecticut,Connecticut,2020,Meth,94,2.6
Connecticut,Connecticut,2020,Otheropioids,311,8.7
Connecticut,Connecticut,2020,Heroin,209,5.9
Connecticut,Connecticut,2020,Fentanyl,1142,32.1
Connecticut,Connecticut,2021,Heroin,117,3.2
Connecticut,Connecticut,2021,Otheropioids,301,8.3
Connecticut,Connecticut,2021,Meth,90,2.5
Connecticut,Connecticut,2021,Fentanyl,1285,35.6
Connecticut,Connecticut,2022,Fentanyl,1254,34.8
Connecticut,Connecticut,2022,Heroin,97,2.7
Connecticut,Connecticut,2022,Meth,79,2.2
Connecticut,Connecticut,2022,Otheropioids,304,8.4
New Mexico,New Mexico,1999,Heroin,23,1.3
New Mexico,New Mexico,1999,Fentanyl,26,1.4
New Mexico,New Mexico,1999,Meth,13,0.7
New Mexico,New Mexico,1999,Otheropioids,136,7.5
New Mexico,New Mexico,2000,Fentanyl,20,1.1
New Mexico,New Mexico,2000,Heroin,40,2.2
New Mexico,New Mexico,2000,Otheropioids,118,6.5
New Mexico,New Mexico,2001,Heroin,22,1.2
New Mexico,New Mexico,2001,Fentanyl,16,0.9
New Mexico,New Mexico,2001,Otheropioids,104,5.7
New Mexico,New Mexico,2002,Otheropioids,160,8.6
New Mexico,New Mexico,2002,Heroin,23,1.2
New Mexico,New Mexico,2002,Fentanyl,17,0.9
New Mexico,New Mexico,2002,Meth,11,0.6
New Mexico,New Mexico,2003,Otheropioids,175,9.3
New Mexico,New Mexico,2003,Meth,24,1.3
New Mexico,New Mexico,2003,Fentanyl,23,1.2
New Mexico,New Mexico,2003,Heroin,25,1.3
New Mexico,New Mexico,2004,Otheropioids,133,7
New Mexico,New Mexico,2004,Fentanyl,15,0.8
New Mexico,New Mexico,2004,Meth,28,1.5
New Mexico,New Mexico,2004,Heroin,33,1.7
New Mexico,New Mexico,2005,Fentanyl,12,0.6
New Mexico,New Mexico,2005,Meth,39,2
New Mexico,New Mexico,2005,Heroin,45,2.3
New Mexico,New Mexico,2005,Otheropioids,155,8
New Mexico,New Mexico,2006,Meth,36,1.8
New Mexico,New Mexico,2006,Heroin,21,1.1
New Mexico,New Mexico,2006,Otheropioids,210,10.7
New Mexico,New Mexico,2006,Fentanyl,24,1.2
New Mexico,New Mexico,2007,Heroin,28,1.4
New Mexico,New Mexico,2007,Meth,37,1.9
New Mexico,New Mexico,2007,Fentanyl,19,1
New Mexico,New Mexico,2007,Otheropioids,216,10.9
New Mexico,New Mexico,2008,Meth,29,1.4
New Mexico,New Mexico,2008,Fentanyl,22,1.1
New Mexico,New Mexico,2008,Heroin,65,3.2
New Mexico,New Mexico,2008,Otheropioids,241,12
New Mexico,New Mexico,2009,Heroin,48,2.4
New Mexico,New Mexico,2009,Meth,28,1.4
New Mexico,New Mexico,2009,Fentanyl,24,1.2
New Mexico,New Mexico,2009,Otheropioids,139,6.8
New Mexico,New Mexico,2010,Meth,28,1.4
New Mexico,New Mexico,2010,Otheropioids,139,6.8
New Mexico,New Mexico,2010,Heroin,21,1
New Mexico,New Mexico,2010,Fentanyl,20,1
New Mexico,New Mexico,2011,Heroin,68,3.3
New Mexico,New Mexico,2011,Fentanyl,20,1
New Mexico,New Mexico,2011,Meth,34,1.6
New Mexico,New Mexico,2011,Otheropioids,153,7.3
New Mexico,New Mexico,2012,Meth,66,3.2
New Mexico,New Mexico,2012,Otheropioids,203,9.7
New Mexico,New Mexico,2012,Heroin,104,5
New Mexico,New Mexico,2012,Fentanyl,37,1.8
New Mexico,New Mexico,2013,Otheropioids,229,11
New Mexico,New Mexico,2013,Meth,82,3.9
New Mexico,New Mexico,2013,Heroin,89,4.3
New Mexico,New Mexico,2013,Fentanyl,23,1.1
New Mexico,New Mexico,2014,Otheropioids,257,12.3
New Mexico,New Mexico,2014,Heroin,139,6.7
New Mexico,New Mexico,2014,Meth,124,5.9
New Mexico,New Mexico,2014,Fentanyl,66,3.2
New Mexico,New Mexico,2015,Otheropioids,189,9.1
New Mexico,New Mexico,2015,Fentanyl,42,2
New Mexico,New Mexico,2015,Heroin,156,7.5
New Mexico,New Mexico,2015,Meth,119,5.7
New Mexico,New Mexico,2016,Otheropioids,186,8.9
New Mexico,New Mexico,2016,Meth,135,6.5
New Mexico,New Mexico,2016,Fentanyl,78,3.7
New Mexico,New Mexico,2016,Heroin,161,7.7
New Mexico,New Mexico,2017,Meth,158,7.6
New Mexico,New Mexico,2017,Otheropioids,171,8.2
New Mexico,New Mexico,2017,Fentanyl,75,3.6
New Mexico,New Mexico,2017,Heroin,144,6.9
New Mexico,New Mexico,2018,Heroin,130,6.2
New Mexico,New Mexico,2018,Fentanyl,105,5
New Mexico,New Mexico,2018,Otheropioids,176,8.4
New Mexico,New Mexico,2018,Meth,212,10.1
New Mexico,New Mexico,2019,Meth,277,13.2
New Mexico,New Mexico,2019,Heroin,182,8.7
New Mexico,New Mexico,2019,Otheropioids,179,8.5
New Mexico,New Mexico,2019,Fentanyl,149,7.1
New Mexico,New Mexico,2020,Otheropioids,204,9.7
New Mexico,New Mexico,2020,Meth,325,15.4
New Mexico,New Mexico,2020,Fentanyl,323,15.3
New Mexico,New Mexico,2020,Heroin,184,8.7
New Mexico,New Mexico,2021,Fentanyl,605,28.6
New Mexico,New Mexico,2021,Heroin,164,7.8
New Mexico,New Mexico,2021,Otheropioids,199,9.4
New Mexico,New Mexico,2021,Meth,535,25.3
New Mexico,New Mexico,2022,Fentanyl,648,30.6
New Mexico,New Mexico,2022,Meth,505,23.9
New Mexico,New Mexico,2022,Otheropioids,140,6.6
New Mexico,New Mexico,2022,Heroin,44,2.1
New York,New York,1999,Meth,10,0.1
New York,New York,1999,Heroin,41,0.2
New York,New York,1999,Fentanyl,18,0.1
New York,New York,1999,Otheropioids,164,0.9
New York,New York,2000,Otheropioids,124,0.7
New York,New York,2000,Fentanyl,16,0.1
New York,New York,2000,Heroin,27,0.1
New York,New York,2001,Heroin,57,0.3
New York,New York,2001,Otheropioids,187,1
New York,New York,2001,Fentanyl,31,0.2
New York,New York,2002,Heroin,50,0.3
New York,New York,2002,Otheropioids,175,0.9
New York,New York,2002,Fentanyl,27,0.1
New York,New York,2002,Meth,15,0.1
New York,New York,2003,Otheropioids,197,1
New York,New York,2003,Meth,10,0.1
New York,New York,2003,Fentanyl,29,0.2
New York,New York,2003,Heroin,49,0.3
New York,New York,2004,Otheropioids,204,1.1
New York,New York,2004,Fentanyl,16,0.1
New York,New York,2004,Heroin,33,0.2
New York,New York,2005,Fentanyl,20,0.1
New York,New York,2005,Heroin,34,0.2
New York,New York,2005,Otheropioids,264,1.4
New York,New York,2006,Heroin,111,0.6
New York,New York,2006,Meth,27,0.1
New York,New York,2006,Otheropioids,558,2.9
New York,New York,2006,Fentanyl,137,0.7
New York,New York,2007,Heroin,195,1
New York,New York,2007,Fentanyl,113,0.6
New York,New York,2007,Meth,25,0.1
New York,New York,2007,Otheropioids,631,3.3
New York,New York,2008,Meth,22,0.1
New York,New York,2008,Fentanyl,121,0.6
New York,New York,2008,Heroin,219,1.1
New York,New York,2008,Otheropioids,682,3.5
New York,New York,2009,Meth,29,0.2
New York,New York,2009,Heroin,251,1.3
New York,New York,2009,Fentanyl,177,0.9
New York,New York,2009,Otheropioids,633,3.3
New York,New York,2010,Meth,30,0.2
New York,New York,2010,Otheropioids,737,3.8
New York,New York,2010,Heroin,193,1
New York,New York,2010,Fentanyl,173,0.9
New York,New York,2011,Heroin,334,1.7
New York,New York,2011,Fentanyl,155,0.8
New York,New York,2011,Meth,47,0.2
New York,New York,2011,Otheropioids,873,4.5
New York,New York,2012,Meth,50,0.3
New York,New York,2012,Otheropioids,884,4.5
New York,New York,2012,Heroin,516,2.6
New York,New York,2012,Fentanyl,164,0.8
New York,New York,2013,Otheropioids,859,4.4
New York,New York,2013,Meth,53,0.3
New York,New York,2013,Heroin,666,3.4
New York,New York,2013,Fentanyl,210,1.1
New York,New York,2014,Otheropioids,797,4
New York,New York,2014,Heroin,825,4.2
New York,New York,2014,Meth,83,0.4
New York,New York,2014,Fentanyl,294,1.5
New York,New York,2015,Otheropioids,895,4.5
New York,New York,2015,Fentanyl,668,3.4
New York,New York,2015,Heroin,1058,5.3
New York,New York,2015,Meth,80,0.4
New York,New York,2016,Otheropioids,1100,5.6
New York,New York,2016,Meth,150,0.8
New York,New York,2016,Fentanyl,1641,8.3
New York,New York,2016,Heroin,1307,6.6
New York,New York,2017,Meth,191,1
New York,New York,2017,Otheropioids,1044,5.3
New York,New York,2017,Fentanyl,2238,11.3
New York,New York,2017,Heroin,1356,6.8
New York,New York,2018,Heroin,1243,6.4
New York,New York,2018,Fentanyl,2195,11.2
New York,New York,2018,Otheropioids,998,5.1
New York,New York,2018,Meth,180,0.9
New York,New York,2019,Meth,240,1.2
New York,New York,2019,Heroin,1145,5.9
New York,New York,2019,Otheropioids,939,4.8
New York,New York,2019,Fentanyl,2338,12
New York,New York,2020,Meth,432,2.2
New York,New York,2020,Otheropioids,1257,6.5
New York,New York,2020,Fentanyl,3721,19.2
New York,New York,2020,Heroin,1275,6.6
New York,New York,2021,Fentanyl,4527,22.8
New York,New York,2021,Heroin,1045,5.3
New York,New York,2021,Otheropioids,1322,6.7
New York,New York,2021,Meth,589,3
New York,New York,2022,Fentanyl,4975,25.1
New York,New York,2022,Meth,665,3.4
New York,New York,2022,Otheropioids,1260,6.4
New York,New York,2022,Heroin,920,4.6
Nevada,Nevada,1999,Heroin,43,2.2
Nevada,Nevada,1999,Fentanyl,21,1.1
Nevada,Nevada,1999,Meth,17,0.9
Nevada,Nevada,1999,Otheropioids,95,4.9
Nevada,Nevada,2000,Meth,24,1.2
Nevada,Nevada,2000,Fentanyl,15,0.8
Nevada,Nevada,2000,Heroin,39,2
Nevada,Nevada,2000,Otheropioids,117,5.9
Nevada,Nevada,2001,Heroin,24,1.1
Nevada,Nevada,2001,Fentanyl,20,1
Nevada,Nevada,2001,Otheropioids,128,6.1
Nevada,Nevada,2001,Meth,18,0.9
Nevada,Nevada,2002,Meth,46,2.1
Nevada,Nevada,2002,Heroin,39,1.8
Nevada,Nevada,2002,Fentanyl,23,1.1
Nevada,Nevada,2002,Otheropioids,133,6.1
Nevada,Nevada,2003,Otheropioids,153,6.8
Nevada,Nevada,2003,Meth,43,1.9
Nevada,Nevada,2003,Fentanyl,17,0.8
Nevada,Nevada,2003,Heroin,36,1.6
Nevada,Nevada,2004,Otheropioids,171,7.3
Nevada,Nevada,2004,Fentanyl,23,1
Nevada,Nevada,2004,Meth,70,3
Nevada,Nevada,2004,Heroin,27,1.2
Nevada,Nevada,2005,Fentanyl,29,1.2
Nevada,Nevada,2005,Meth,64,2.6
Nevada,Nevada,2005,Heroin,46,1.9
Nevada,Nevada,2005,Otheropioids,231,9.5
Nevada,Nevada,2006,Meth,70,2.8
Nevada,Nevada,2006,Heroin,36,1.4
Nevada,Nevada,2006,Otheropioids,253,10
Nevada,Nevada,2006,Fentanyl,27,1.1
Nevada,Nevada,2007,Meth,49,1.9
Nevada,Nevada,2007,Fentanyl,23,0.9
Nevada,Nevada,2007,Heroin,42,1.6
Nevada,Nevada,2007,Otheropioids,288,11.1
Nevada,Nevada,2008,Otheropioids,302,11.4
Nevada,Nevada,2008,Meth,52,2
Nevada,Nevada,2008,Fentanyl,27,1
Nevada,Nevada,2008,Heroin,31,1.2
Nevada,Nevada,2009,Heroin,22,0.8
Nevada,Nevada,2009,Fentanyl,42,1.6
Nevada,Nevada,2009,Meth,70,2.6
Nevada,Nevada,2009,Otheropioids,353,13.1
Nevada,Nevada,2010,Meth,80,3
Nevada,Nevada,2010,Otheropioids,369,13.7
Nevada,Nevada,2010,Heroin,19,0.7
Nevada,Nevada,2010,Fentanyl,39,1.4
Nevada,Nevada,2011,Heroin,40,1.5
Nevada,Nevada,2011,Fentanyl,45,1.7
Nevada,Nevada,2011,Otheropioids,362,13.3
Nevada,Nevada,2011,Meth,112,4.1
Nevada,Nevada,2012,Meth,104,3.8
Nevada,Nevada,2012,Otheropioids,361,13.1
Nevada,Nevada,2012,Heroin,45,1.6
Nevada,Nevada,2012,Fentanyl,27,1
Nevada,Nevada,2013,Meth,139,5
Nevada,Nevada,2013,Heroin,48,1.7
Nevada,Nevada,2013,Otheropioids,294,10.5
Nevada,Nevada,2013,Fentanyl,26,0.9
Nevada,Nevada,2014,Otheropioids,269,9.5
Nevada,Nevada,2014,Heroin,64,2.3
Nevada,Nevada,2014,Meth,130,4.6
Nevada,Nevada,2014,Fentanyl,32,1.1
Nevada,Nevada,2015,Otheropioids,298,10.3
Nevada,Nevada,2015,Fentanyl,32,1.1
Nevada,Nevada,2015,Meth,172,5.9
Nevada,Nevada,2015,Heroin,82,2.8
Nevada,Nevada,2016,Otheropioids,275,9.4
Nevada,Nevada,2016,Meth,228,7.8
Nevada,Nevada,2016,Fentanyl,53,1.8
Nevada,Nevada,2016,Heroin,86,2.9
Nevada,Nevada,2017,Meth,257,8.6
Nevada,Nevada,2017,Otheropioids,276,9.2
Nevada,Nevada,2017,Fentanyl,66,2.2
Nevada,Nevada,2017,Heroin,94,3.1
Nevada,Nevada,2018,Heroin,108,3.6
Nevada,Nevada,2018,Fentanyl,85,2.8
Nevada,Nevada,2018,Otheropioids,235,7.7
Nevada,Nevada,2018,Meth,309,10.2
Nevada,Nevada,2019,Meth,303,9.8
Nevada,Nevada,2019,Heroin,122,4
Nevada,Nevada,2019,Otheropioids,189,6.1
Nevada,Nevada,2019,Fentanyl,114,3.7
Nevada,Nevada,2020,Meth,373,11.9
Nevada,Nevada,2020,Otheropioids,245,7.8
Nevada,Nevada,2020,Fentanyl,291,9.3
Nevada,Nevada,2020,Heroin,130,4.1
Nevada,Nevada,2021,Heroin,120,3.8
Nevada,Nevada,2021,Fentanyl,369,11.7
Nevada,Nevada,2021,Otheropioids,239,7.6
Nevada,Nevada,2021,Meth,446,14.2
Nevada,Nevada,2022,Fentanyl,456,14.5
Nevada,Nevada,2022,Meth,523,16.6
Nevada,Nevada,2022,Otheropioids,200,6.4
Nevada,Nevada,2022,Heroin,91,2.9
Missouri,Missouri,1999,Heroin,48,0.9
Missouri,Missouri,1999,Fentanyl,18,0.3
Missouri,Missouri,1999,Otheropioids,36,0.6
Missouri,Missouri,2000,Meth,10,0.2
Missouri,Missouri,2000,Fentanyl,27,0.5
Missouri,Missouri,2000,Heroin,48,0.9
Missouri,Missouri,2000,Otheropioids,59,1.1
Missouri,Missouri,2001,Fentanyl,36,0.6
Missouri,Missouri,2001,Heroin,24,0.4
Missouri,Missouri,2001,Otheropioids,69,1.2
Missouri,Missouri,2001,Meth,14,0.2
Missouri,Missouri,2002,Otheropioids,102,1.8
Missouri,Missouri,2002,Meth,16,0.3
Missouri,Missouri,2002,Heroin,53,0.9
Missouri,Missouri,2002,Fentanyl,30,0.5
Missouri,Missouri,2003,Otheropioids,200,3.5
Missouri,Missouri,2003,Meth,19,0.3
Missouri,Missouri,2003,Fentanyl,33,0.6
Missouri,Missouri,2003,Heroin,42,0.7
Missouri,Missouri,2004,Otheropioids,170,3
Missouri,Missouri,2004,Fentanyl,47,0.8
Missouri,Missouri,2004,Meth,24,0.4
Missouri,Missouri,2004,Heroin,57,1
Missouri,Missouri,2005,Fentanyl,47,0.8
Missouri,Missouri,2005,Meth,30,0.5
Missouri,Missouri,2005,Heroin,52,0.9
Missouri,Missouri,2005,Otheropioids,215,3.7
Missouri,Missouri,2006,Heroin,61,1
Missouri,Missouri,2006,Meth,27,0.5
Missouri,Missouri,2006,Otheropioids,223,3.8
Missouri,Missouri,2006,Fentanyl,140,2.4
Missouri,Missouri,2007,Meth,23,0.4
Missouri,Missouri,2007,Fentanyl,70,1.2
Missouri,Missouri,2007,Otheropioids,252,4.3
Missouri,Missouri,2007,Heroin,67,1.1
Missouri,Missouri,2008,Otheropioids,289,4.9
Missouri,Missouri,2008,Meth,22,0.4
Missouri,Missouri,2008,Fentanyl,55,0.9
Missouri,Missouri,2008,Heroin,120,2
Missouri,Missouri,2009,Heroin,162,2.7
Missouri,Missouri,2009,Meth,28,0.5
Missouri,Missouri,2009,Fentanyl,67,1.1
Missouri,Missouri,2009,Otheropioids,259,4.3
Missouri,Missouri,2010,Meth,45,0.8
Missouri,Missouri,2010,Otheropioids,318,5.3
Missouri,Missouri,2010,Heroin,183,3.1
Missouri,Missouri,2010,Fentanyl,92,1.5
Missouri,Missouri,2011,Otheropioids,285,4.7
Missouri,Missouri,2011,Heroin,250,4.2
Missouri,Missouri,2011,Fentanyl,66,1.1
Missouri,Missouri,2011,Meth,44,0.7
Missouri,Missouri,2012,Meth,58,1
Missouri,Missouri,2012,Otheropioids,256,4.3
Missouri,Missouri,2012,Heroin,210,3.5
Missouri,Missouri,2012,Fentanyl,56,0.9
Missouri,Missouri,2013,Heroin,261,4.3
Missouri,Missouri,2013,Meth,75,1.2
Missouri,Missouri,2013,Otheropioids,282,4.7
Missouri,Missouri,2013,Fentanyl,97,1.6
Missouri,Missouri,2014,Otheropioids,281,4.6
Missouri,Missouri,2014,Heroin,334,5.5
Missouri,Missouri,2014,Meth,101,1.7
Missouri,Missouri,2014,Fentanyl,109,1.8
Missouri,Missouri,2015,Otheropioids,289,4.8
Missouri,Missouri,2015,Fentanyl,183,3
Missouri,Missouri,2015,Heroin,303,5
Missouri,Missouri,2015,Meth,133,2.2
Missouri,Missouri,2016,Meth,185,3
Missouri,Missouri,2016,Otheropioids,268,4.4
Missouri,Missouri,2016,Fentanyl,441,7.2
Missouri,Missouri,2016,Heroin,380,6.2
Missouri,Missouri,2017,Meth,248,4.1
Missouri,Missouri,2017,Otheropioids,253,4.1
Missouri,Missouri,2017,Fentanyl,618,10.1
Missouri,Missouri,2017,Heroin,299,4.9
Missouri,Missouri,2018,Heroin,351,5.7
Missouri,Missouri,2018,Fentanyl,868,14.2
Missouri,Missouri,2018,Otheropioids,265,4.3
Missouri,Missouri,2018,Meth,367,6
Missouri,Missouri,2019,Meth,452,7.4
Missouri,Missouri,2019,Heroin,224,3.6
Missouri,Missouri,2019,Otheropioids,242,3.9
Missouri,Missouri,2019,Fentanyl,886,14.4
Missouri,Missouri,2020,Meth,568,9.2
Missouri,Missouri,2020,Otheropioids,233,3.8
Missouri,Missouri,2020,Heroin,145,2.4
Missouri,Missouri,2020,Fentanyl,1205,19.6
Missouri,Missouri,2021,Otheropioids,212,3.4
Missouri,Missouri,2021,Heroin,90,1.5
Missouri,Missouri,2021,Fentanyl,1445,23.4
Missouri,Missouri,2021,Meth,718,11.6
Missouri,Missouri,2022,Fentanyl,1470,23.8
Missouri,Missouri,2022,Meth,731,11.9
Missouri,Missouri,2022,Otheropioids,213,3.5
Missouri,Missouri,2022,Heroin,44,0.7
Michigan,Michigan,1999,Heroin,39,0.4
Michigan,Michigan,1999,Fentanyl,20,0.2
Michigan,Michigan,1999,Otheropioids,47,0.5
Michigan,Michigan,2000,Fentanyl,17,0.2
Michigan,Michigan,2000,Heroin,87,0.9
Michigan,Michigan,2000,Otheropioids,57,0.6
Michigan,Michigan,2001,Fentanyl,17,0.2
Michigan,Michigan,2001,Heroin,80,0.8
Michigan,Michigan,2001,Otheropioids,75,0.8
Michigan,Michigan,2002,Otheropioids,123,1.2
Michigan,Michigan,2002,Heroin,65,0.6
Michigan,Michigan,2002,Fentanyl,41,0.4
Michigan,Michigan,2003,Otheropioids,129,1.3
Michigan,Michigan,2003,Fentanyl,34,0.3
Michigan,Michigan,2003,Heroin,70,0.7
Michigan,Michigan,2004,Otheropioids,195,1.9
Michigan,Michigan,2004,Fentanyl,48,0.5
Michigan,Michigan,2004,Heroin,94,0.9
Michigan,Michigan,2005,Fentanyl,88,0.9
Michigan,Michigan,2005,Heroin,151,1.5
Michigan,Michigan,2005,Otheropioids,259,2.6
Michigan,Michigan,2006,Heroin,149,1.5
Michigan,Michigan,2006,Fentanyl,199,2
Michigan,Michigan,2006,Otheropioids,298,3
Michigan,Michigan,2007,Fentanyl,71,0.7
Michigan,Michigan,2007,Heroin,114,1.1
Michigan,Michigan,2007,Otheropioids,316,3.2
Michigan,Michigan,2008,Otheropioids,347,3.5
Michigan,Michigan,2008,Fentanyl,73,0.7
Michigan,Michigan,2008,Heroin,216,2.2
Michigan,Michigan,2009,Heroin,250,2.5
Michigan,Michigan,2009,Fentanyl,93,0.9
Michigan,Michigan,2009,Otheropioids,371,3.7
Michigan,Michigan,2010,Meth,11,0.1
Michigan,Michigan,2010,Otheropioids,387,3.9
Michigan,Michigan,2010,Heroin,215,2.2
Michigan,Michigan,2010,Fentanyl,85,0.9
Michigan,Michigan,2011,Otheropioids,347,3.5
Michigan,Michigan,2011,Fentanyl,89,0.9
Michigan,Michigan,2011,Heroin,267,2.7
Michigan,Michigan,2011,Meth,25,0.3
Michigan,Michigan,2012,Meth,17,0.2
Michigan,Michigan,2012,Otheropioids,378,3.8
Michigan,Michigan,2012,Heroin,263,2.7
Michigan,Michigan,2012,Fentanyl,72,0.7
Michigan,Michigan,2013,Meth,26,0.3
Michigan,Michigan,2013,Heroin,421,4.3
Michigan,Michigan,2013,Otheropioids,411,4.2
Michigan,Michigan,2013,Fentanyl,86,0.9
Michigan,Michigan,2014,Heroin,525,5.3
Michigan,Michigan,2014,Otheropioids,438,4.4
Michigan,Michigan,2014,Meth,54,0.5
Michigan,Michigan,2014,Fentanyl,178,1.8
Michigan,Michigan,2015,Otheropioids,518,5.2
Michigan,Michigan,2015,Fentanyl,457,4.6
Michigan,Michigan,2015,Heroin,646,6.5
Michigan,Michigan,2015,Meth,57,0.6
Michigan,Michigan,2016,Meth,88,0.9
Michigan,Michigan,2016,Fentanyl,921,9.3
Michigan,Michigan,2016,Heroin,727,7.3
Michigan,Michigan,2016,Otheropioids,678,6.8
Michigan,Michigan,2017,Meth,145,1.5
Michigan,Michigan,2017,Otheropioids,633,6.4
Michigan,Michigan,2017,Fentanyl,1368,13.7
Michigan,Michigan,2017,Heroin,783,7.9
Michigan,Michigan,2018,Heroin,633,6.3
Michigan,Michigan,2018,Fentanyl,1531,15.3
Michigan,Michigan,2018,Otheropioids,556,5.6
Michigan,Michigan,2018,Meth,172,1.7
Michigan,Michigan,2019,Meth,225,2.3
Michigan,Michigan,2019,Heroin,477,4.8
Michigan,Michigan,2019,Otheropioids,454,4.5
Michigan,Michigan,2019,Fentanyl,1458,14.6
Michigan,Michigan,2020,Meth,390,3.9
Michigan,Michigan,2020,Otheropioids,495,5
Michigan,Michigan,2020,Heroin,453,4.5
Michigan,Michigan,2020,Fentanyl,1926,19.3
Michigan,Michigan,2021,Otheropioids,512,5.1
Michigan,Michigan,2021,Heroin,204,2
Michigan,Michigan,2021,Meth,536,5.3
Michigan,Michigan,2021,Fentanyl,2285,22.7
Michigan,Michigan,2022,Fentanyl,2238,22.3
Michigan,Michigan,2022,Otheropioids,356,3.5
Michigan,Michigan,2022,Meth,498,5
Michigan,Michigan,2022,Heroin,160,1.6
Massachusetts,Massachusetts,1999,Heroin,17,0.3
Massachusetts,Massachusetts,1999,Fentanyl,10,0.2
Massachusetts,Massachusetts,1999,Otheropioids,40,0.6
Massachusetts,Massachusetts,2000,Fentanyl,16,0.3
Massachusetts,Massachusetts,2000,Otheropioids,38,0.6
Massachusetts,Massachusetts,2001,Fentanyl,11,0.2
Massachusetts,Massachusetts,2001,Heroin,18,0.3
Massachusetts,Massachusetts,2001,Otheropioids,92,1.4
Massachusetts,Massachusetts,2002,Otheropioids,98,1.5
Massachusetts,Massachusetts,2002,Heroin,17,0.3
Massachusetts,Massachusetts,2002,Fentanyl,21,0.3
Massachusetts,Massachusetts,2003,Otheropioids,122,1.9
Massachusetts,Massachusetts,2003,Fentanyl,26,0.4
Massachusetts,Massachusetts,2003,Heroin,23,0.4
Massachusetts,Massachusetts,2004,Otheropioids,119,1.9
Massachusetts,Massachusetts,2004,Fentanyl,34,0.5
Massachusetts,Massachusetts,2004,Heroin,14,0.2
Massachusetts,Massachusetts,2005,Fentanyl,38,0.6
Massachusetts,Massachusetts,2005,Heroin,20,0.3
Massachusetts,Massachusetts,2005,Otheropioids,176,2.7
Massachusetts,Massachusetts,2006,Heroin,37,0.6
Massachusetts,Massachusetts,2006,Meth,14,0.2
Massachusetts,Massachusetts,2006,Otheropioids,288,4.5
